name,flag,lat,long,start,end
Ecuador,🇪🇨,-1.160171,-78.432915,10/01/19,null
WestPapua,🇵🇬,-6.478378,145.241749,08/19/19,null
Indonesia,🇮🇩,-6.21462,106.84513,09/23/19,null
Catalonia,🏴󠁥󠁣󠁴󠁿,41.617592,0.620015,10/14/19,null
HongKong,🇭🇰,22.28552,114.15769,03/31/19,null
Chile,🇨🇱,-37.721037,-72.209377,10/07/19,null
Haiti,🇫🇷,20.182436,-72.434515,07/07/19,null
France,🇫🇷,47.824905,2.618787,11/17/18,null
Sudan,🇸🇩,13.831539,30.049948,04/11/19,null
Algeria,🇩🇿,28.16324,2.632388,02/16/19,null
Iraq,🇮🇶,36.048056,43.404716,07/15/19,null
Egypt,🇪🇬,26.494184,29.871903,09/20/19,null
Greece,🇬🇷,38.589021,23.828554,07/08/19,null
PuertoRico,🇵🇷,18.200178,-66.664513,08/12/19
Lebanon,🇱🇧,33.7,35.8,10/17/19,null
